Common Name,Scientific Name,2024-05-31,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,Total
Little Corella,Cacatua sanguinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,9
Little Friarbird,Philemon citreogularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
Little Raven,Corvus mellori,30,259,722,106,391,307,374,173,342,176,42,292,16,223,145,235,163,548,596,105,74,288,476,278,719,1168,972,13,341,274,208,10056
Long-tailed Tit,Aegithalos caudatus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Magpie-lark,Grallina cyanoleuca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Maned Duck,Chenonetta jubata,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,25,0,0,0,2,0,2,0,0,1,0,0,0,36
Masked Lapwing,Vanellus miles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
New Holland Honeyeater,Phylidonyris novaehollandiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
Noisy Friarbird,Philemon corniculatus,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
Olive-backed Oriole,Oriolus sagittatus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,6
Osprey,Pandion haliaetus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pacific Koel,Eudynamys orientalis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pied Butcherbird,Cracticus nigrogularis,0,11,30,40,39,8,16,5,31,36,29,55,1,53,15,44,21,18,20,8,26,21,10,9,13,15,7,2,2,14,7,606
Pied Currawong,Strepera graculina,2,22,50,21,206,11,16,5,8,20,17,2,1,26,41,33,8,38,10,14,10,26,14,72,19,12,27,13,87,156,0,987
Rainbow Bee-eater,Merops ornatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
Rainbow Lorikeet,Trichoglossus moluccanus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Red Wattlebird,Anthochaera carunculata,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,6
Red-browed Firetail,Neochmia temporalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,1,0,2,0,0,13
Rock Pigeon,Columba livia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,6
Scaly-breasted Lorikeet,Trichoglossus chlorolepidotus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Silvereye,Zosterops lateralis,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4
